Org_Name,Repo_Name,Is_Empty,Last_Push,Last_Update,isFork,isArchived,Repo_Size(mb),Record_Count,Collaborator_Count,Protected_Branch_Count,PR_Review_Count,Milestone_Count,Issue_Count,PR_Count,PR_Review_Comment_Count,Commit_Comment_Count,Issue_Comment_Count,Issue_Event_Count,Release_Count,Project_Count,Branch_Count,Tag_Count,Discussion_Count,Has_Wiki,Full_URL,Migration_Issue,Created
gitstua-labs,.github,false,2023-02-04T05:21:15Z,2023-02-04T05:20:01Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/.github,FALSE,2023-02-03T03:11:13Z
gitstua-labs,.github-private,false,2023-02-14T20:40:52Z,2023-02-14T20:08:38Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/.github-private,FALSE,2023-02-14T20:08:38Z
gitstua-labs,10x-owasp-copilot,false,2023-08-07T07:38:33Z,2023-08-07T07:38:38Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/10x-owasp-copilot,FALSE,2023-08-07T04:03:24Z
gitstua-labs,actions-debugging,false,2023-09-17T11:27:43Z,2023-09-17T11:26:24Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,https://github.com/gitstua-labs/actions-debugging,FALSE,2023-09-17T11:23:55Z
gitstua-labs,actions-demo,false,2023-09-21T05:04:44Z,2023-09-20T11:53:37Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/actions-demo,FALSE,2023-09-20T11:53:36Z
gitstua-labs,actions-triggers1,false,2023-08-01T00:10:20Z,2023-08-01T00:10:20Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/actions-triggers1,FALSE,2023-08-01T00:10:20Z
gitstua-labs,actions-url,false,2023-10-11T04:28:45Z,2023-10-11T04:23:19Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/actions-url,FALSE,2023-10-11T04:23:18Z
gitstua-labs,api-users-test,false,2023-06-14T05:23:55Z,2023-06-14T05:23:55Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/api-users-test,FALSE,2023-06-14T05:23:54Z
gitstua-labs,arcv2demo,false,2023-10-25T10:39:15Z,2023-10-25T09:55:30Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false,https://github.com/gitstua-labs/ARCv2Demo,FALSE,2023-08-08T01:35:43Z
gitstua-labs,arcv2demo-testrunner,false,2023-08-08T23:40:31Z,2023-08-08T23:38:25Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/ARCv2demo-testrunner,FALSE,2023-08-08T23:38:25Z
gitstua-labs,bank-calculator,false,2023-11-16T04:55:30Z,2023-11-07T08:03:00Z,false,false,2,292,5,0,28,0,4,47,3,0,6,199,0,0,18,0,0,false,https://github.com/gitstua-labs/bank-calculator,FALSE,2023-10-06T21:19:02Z
gitstua-labs,base64-custom-pattern,false,2023-10-10T04:47:51Z,2023-09-15T06:01:42Z,false,false,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,true,https://github.com/gitstua-labs/base64-custom-pattern,FALSE,2023-09-15T05:56:15Z
gitstua-labs,block-package-dependency,false,2023-08-10T12:19:54Z,2023-08-10T11:51:09Z,false,false,0,4,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,true,https://github.com/gitstua-labs/block-package-dependency,FALSE,2023-08-10T11:51:09Z
